5
5
0 0 3,1900000000E+002
0 1 8,2000000000E+001
0 2 2,7000000000E+002
0 3 3,1000000000E+002
0 4 9,4200000000E+002
1 0 4,8400000000E+002
1 1 6,3400000000E+002
1 2 9,3700000000E+002
1 3 3,5000000000E+002
1 4 6,8600000000E+002
2 0 8,9000000000E+002
2 1 9,9700000000E+002
2 2 7,4300000000E+002
2 3 4,2400000000E+002
2 4 7,7300000000E+002
3 0 6,3900000000E+002
3 1 4,4700000000E+002
3 2 2,7500000000E+002
3 3 6,3500000000E+002
3 4 1,5200000000E+002
4 0 8,8000000000E+002
4 1 9,7700000000E+002
4 2 6,7900000000E+002
4 3 7,4000000000E+002
4 4 5,1300000000E+002
