10
5
0 0 3,2000000000E+002
0 1 9,4700000000E+002
0 2 1,9000000000E+001
0 3 5,0500000000E+002
0 4 3,0500000000E+002
1 0 2,4300000000E+002
1 1 4,6700000000E+002
1 2 6,8800000000E+002
1 3 5,2700000000E+002
1 4 1,4900000000E+002
2 0 4,7200000000E+002
2 1 1,9600000000E+002
2 2 3,4600000000E+002
2 3 4,5800000000E+002
2 4 9,6100000000E+002
3 0 1,7500000000E+002
3 1 9,2800000000E+002
3 2 7,9400000000E+002
3 3 7,0900000000E+002
3 4 8,4600000000E+002
4 0 1,4100000000E+002
4 1 3,9700000000E+002
4 2 5,5000000000E+001
4 3 5,4800000000E+002
4 4 2,2400000000E+002
5 0 4,8100000000E+002
5 1 1,6000000000E+002
5 2 1,9700000000E+002
5 3 9,4400000000E+002
5 4 4,7000000000E+001
6 0 3,7800000000E+002
6 1 3,7400000000E+002
6 2 8,6800000000E+002
6 3 5,4000000000E+002
6 4 3,4000000000E+001
7 0 8,3300000000E+002
7 1 8,0000000000E+000
7 2 6,9000000000E+002
7 3 6,9000000000E+001
7 4 1,3100000000E+002
8 0 6,0000000000E+002
8 1 3,0500000000E+002
8 2 5,0700000000E+002
8 3 1,4000000000E+001
8 4 6,1000000000E+001
9 0 4,6800000000E+002
9 1 1,0000000000E+002
9 2 4,9000000000E+001
9 3 4,4000000000E+002
9 4 2,6000000000E+001
